CODIGO;token;;significado;enunciado
PHAD-1021;1;pendejo;tonto ; Veníahaciéndome la pendeja 
PHAD-360;1;estrecho;;No tehagás el estrecho Estamos
PHAD-1221;1;tarado;loco; -No tehagas el tarado
PHAD-926;1;muerto;muerto;Sehace el muerto
PHAD-971;1;ofendido;;Sehace la ofendida 
PHAD-106;1;callado;; Siempre sehacía la calladita y
PHAD-1059;1;piola;idiom: el listo Arg; sorete, no tehagás el piola con
PHAD-123;1;chistoso;;- No sehaga el chistoso que
PHAD-732;1;listo;;-confesé sinhacerme el listo
PHAD-1110;1;serio;;-contestaron ellas,haciéndose las serias
PHAD-276;1;duro;;-continúa Muría- Noshacemos los duros Nos
PHAD-121;1;chistoso;;-Dale Sehace el chistosito 
PHAD-281;1;duro;;-dijo ellahaciéndose la dura
PHAD-664;1;interesante;;-dijo Lavaritohaciéndose el interesante
PHAD-622;1;interesado;;-dijo Tatu,haciéndose el interesado 
PHAD-495;1;güeva;tonto imbécil huevón-perezoso;-dijo- No tehagas la güeva 
PHAD-418;1;fuerte ;;-le dice,haciéndose el fuerte,
PHAD-462;1;gracioso;;-le dijehaciéndome el gracioso-
PHAD-381;1;experto;;-Le dije,haciéndome el experto 
PHAD-651;1;interesante;;"-respondió Doblónhaciéndose el interesante-;"
PHAD-611;1;inocente;;-respondió Renata,haciéndose la inocente
PHAD-374;1;estúpido ;;¡Y élhaciéndose el estúpido,
PHAD-507;1;huevón;tonto, imbécil, huevón-perezoso;¿Por qué tehaces el huevón Mondaca,
PHAD-314;1;encontradizo;;…l siguióhaciéndose el encontradizo
PHAD-101;1;cabrón;;"""Asere, no tehagas el cabrón"
PHAD-547;1;importante ;;"""sobre"" quisohacerse el importante,"
PHAD-880;1;matón;;() No No tehagas el matón No
PHAD-1288;1;tonto;tonto;(Asombrado Incrédulo) ¿Tehaces el tonto o
PHAD-1203;1;sordo;;1988, no puedehacerse el sordo
PHAD-1153;1;sonsito;tonto ;a cualquiera, sehacía el sonsito pero
PHAD-734;1;listo;;a escaparhaciéndote el listo
PHAD-830;1;loco;;a menudo Sehace el loco como
PHAD-1395;1;vivo;;a nohacerse la viva
PHAD-1372;1;valiente ;;a Reedhaciéndose el valiente:
PHAD-704;1;leso;tonto Chile;a rondar, sehacía la lesa trataba
PHAD-53;1;boludo;tonto Arg RepDom;a seguirhaciéndote la boluda 
PHAD-279;1;duro;;a segundo,haciéndose la dura,
PHAD-829;1;loco;;abrirle comohaciéndome el loco 
PHAD-893;1;misterioso;;absurdos yhaciéndose la misteriosa,
PHAD-1200;1;sordo;;acordeón Decidióhacerse el sordo
PHAD-670;1;interesante;;"acusaban de "" hacerse el interesante"""
PHAD-555;1;independiente;;además dehacerse el independiente 
PHAD-472;1;gracioso;;advierto parahacerme el gracioso
PHAD-319;1;encontradizo;;ahí afuerahaciéndose el encontradizo
PHAD-1018;1;pelotudo;tonto Arg Bol Ur;ahí, no tehagas el pelotudo Pero
PHAD-224;1;digno;;ahora ahacerte la digna,
PHAD-1338;1;tonto;tonto;ahora No tehagas el tonto Para
PHAD-1103;1;santurrón;santo;ahora porhacerte la santurrona 
PHAD-828;1;loco;;al empujarme, sehizo el loco o
PHAD-1209;1;sordo ;;al oído,hacerse el sordo,
PHAD-987;1;ofendido;;alegaciones Podríahacerse el ofendido 
PHAD-463;1;gracioso;;alguno dehacerme el gracioso,
PHAD-421;1;fuerte ;;allá ¡Claro!,haciéndose las fuertes,
PHAD-827;1;loco;;allí y sehizo el loco a
PHAD-514;1;huevón;tonto, imbécil, huevón-perezoso;amanezca yhacernos los huevones 
PHAD-1344;1;tonto;;ambos sortearonhaciéndose los tontos
PHAD-826;1;loco;;Ambrosio, no sehaga el loco El
PHAD-856;1;loco;;amenaza pero sehacen los locos Doy
PHAD-410;1;fuerte;;Andrés intentandohacerse el fuerte
PHAD-1223;1;tarado;loco;Antenor, no tehagas el tarado Gritó
PHAD-133;1;chulo;;antes dehacerte el chulito 
PHAD-287;1;encantador;;antes quehacerme el encantador 
PHAD-380;1;experto;;anticipo y,haciéndome la experta 
PHAD-650;1;interesante;;años -continuó,haciéndose la interesante-,
PHAD-615;1;inteligente;;años dehacerme el inteligente
PHAD-337;1;ensimismado;;aparta y,haciéndose la ensimismada,
PHAD-952;1;muerto;muerto;aplastarlos porque sehacen los muertos me
PHAD-333;1;enfermo;;apostar que sehará el enfermo o
PHAD-680;1;interesante ;;aprendas ahacerte el interesante,
PHAD-546;1;importante ;;aprovecha parahacerse el importante,
PHAD-772;1;loco;;aquel asunto, sehizo la loca y
PHAD-1337;1;tonto;tonto;aquella historia,hacerme el tonto 
PHAD-657;1;interesante;;aquello parahacerse el interesante
PHAD-38;1;bobo;tonto;aquí, pero sehace la boba Yo
PHAD-986;1;ofendido;;argüir yo,haciéndome el ofendido 
PHAD-905;1;moderno;;artísticos quierenhacerse los modernos,
PHAD-384;1;extraño;;Así que sehizo el extraño el
PHAD-951;1;muerto;muerto;atención Nosotros noshicimos los muertos también,
PHAD-771;1;loco;;aún dehacerme la loca 
PHAD-945;1;muerto;muerto;aún- decidióhacerse el muerto 
PHAD-500;1;güevón;tonto imbécil huevón-perezoso;aunque ahora sehace el güevón resulta
PHAD-242;1;distraído;despistado;bañaba yhaciéndome el distraído 
PHAD-653;1;interesante;;Basta dehacerme el interesante
PHAD-144;1;ciego;;bastón, yhacerse el ciego
PHAD-24;1;baboso;;bien o tehacés el baboso mijo
PHAD-72;1;boludo;tonto Arg RepDom;bien pero tehacés el boludo Siempre
PHAD-533;1;imbécil;tonto, imbécil;bien, no tehagas el imbécil Hubiera
PHAD-1044;1;pendejo;tonto ;bien! No sehaga el pendejo súbase
PHAD-273;1;duro;;bobo, porque sehace el duro el
PHAD-386;1;extravagante;;boca llena,haciéndose el extravagante 
PHAD-71;1;boludo;tonto Arg RepDom;boludo Siempre tehacés el boludo cuando
PHAD-416;1;fuerte ;;brazo yhacerse el fuerte,
PHAD-774;1;loco;;"buena parte ""sehace la loca"" ante"
PHAD-1343;1;tonto;;bueno dehacerse los tontos
PHAD-1139;1;simpático;;bueno parahacerse el simpático:
PHAD-160;1;compasivo;;burlarse, parahacerse los compasivos
PHAD-825;1;loco;;busca o mehago el loco Aquí
PHAD-855;1;loco;;cambiar pareja,haciéndose los locos 
PHAD-147;1;ciego ;;cambio dehacerse el ciego,
PHAD-621;1;interesado;;canción, élhaciéndose el interesado 
PHAD-1206;1;sordo;;capacidad parahacerse el sordo
PHAD-272;1;duro;;cara-, no tehagas el duro que
PHAD-524;1;idiota;tonto, imbécil;caras yhacernos los idiotas 
PHAD-1076;1;remolón;;Carla refunfuñó, sehizo la remolona adoptó
PHAD-671;1;interesante;;ceja parahacerse el interesante&
PHAD-189;1;despistado;despistado;cerca o sehará la despistada 
PHAD-864;1;magnánimo ;;cervezas, ahacerse el magnánimo,
PHAD-468;1;gracioso;;Chacaltana, Luquen,haciéndose el gracioso,
PHAD-483;1;gracioso;;"china?"", dije,haciéndome el gracioso"
PHAD-718;1;lindo;;"chofer ""lindorfea"" (sehace el lindo con"
PHAD-143;1;ciego;;ciegos o sehacen los ciegos y
PHAD-854;1;loco;;"civil, pero ""sehacen los locos y"
PHAD-1336;1;tonto;tonto;Collell No sehaga el tonto si
PHAD-316;1;encontradizo;;Comencé ahacerme el encontradizo
PHAD-581;1;ingenuo;;como estaba, sehizo el ingenuo como
PHAD-1002;1;papo;tonto Hond;como indección?hacéte el papo 
PHAD-491;1;guapo;;como parahacerse el guapo 
PHAD-1054;1;pícaro;;"como parahacerse el pícaro"""
