codigo;token;naturaleza;item;enunciado;significado;
PHND-001;1;SUST;adolescente;  sólo por  hacerme la adolescente ;;FINGIDO
PHND-002;1;SUST;adulto; . Y no te  hagas la adulta que;;FINGIDO
PHND-004;1;SUST;amigo;  un problema:  hacerme el amigo ;;FINGIDO
PHND-005;1;SUST;amigo;  China primero se  hacen los amigos y;;FINGIDO
PHND-015;1;SUST;artista;  vieja para  hacerte la artista! ;;FINGIDO
PHND-023;1;SUST;bárbaro;" . ""Asere, no te  hagas el bárbaro añade,";;FINGIDO
PHND-024;1;SUST;bárbaro;  piensa en  hacerse el bárbaro ;;FINGIDO
PHND-029;1;SUST;camba;  tú tampoco te  hagas el camba conmigo;mestizo de oriente de colombia;FINGIDO
PHND-030;1;SUST;camba;  que no se  hiciera la camba conmigo;mestizo de oriente de colombia;FINGIDO
PHND-031;1;SUST;canchero; . Vos fijate. (se  hace el canchero Mima;fanfarrón Arg.;FINGIDO
PHND-032;1;SUST;canchero;  Julián-, y  haciéndose el canchero ;fanfarrón Arg.;FINGIDO
PHND-035;1;SUST;chiquito;  el bailongo.  Haciéndome el chiquito ;despistado;FINGIDO
PHND-036;1;SUST;chivo;  tuve que  hacerme el chivo ;despistado;FINGIDO
PHND-037;1;SUST;chivo;  trato de  hacerme el chivo ;despistado;FINGIDO
PHND-038;1;SUST;chivo;  los comunicadores  haciéndose el chivo ;despistado;FINGIDO
PHND-039;1;SUST;chivo;  a fumar? -se  hizo el chivo sonso.;despistado;FINGIDO
PHND-041;1;SUST;compadre;  daban para  hacernos los compadritos ;;FINGIDO
PHND-049;1;SUST;detective;  esto de  hacerte el detective ;;FINGIDO
PHND-055;1;SUST;duque;  teléfono y te  hacés el duque! Fettuccinis;;FINGIDO
PHND-216;1;SUST;erúdito; Todos medican y se hacen los eruditos, por quÈ yo no?. ;;FINGIDO
PHND-059;1;SUST;esposo;  de antaÑo, se  hace el esposo engañado;;FINGIDO
PHND-060;1;SUST;estrella; , dejen de  hacerse las estrella ;;FINGIDO
PHND-061;1;SUST;fashion;No, no esa... esa se hace la fashion, se cree la última Coca-Cola del desierto °qué flor de desubicada!;moderna;FINGIDO
PHND-062;1;SUST;finado;  nada, y se  hace el finado el;muerto;FINGIDO
PHND-009;1;SUST;ánimo;  más valía  hacerse el ánimo ;idiom: resignarse, preparase para sobrellevar algo molesto. Mx.;IDIOMÁTICO
PHND-010;1;SUST;ánimo;  los padres se  hacía el ánimo de;idiom: resignarse, preparase para sobrellevar algo molesto. Mx.;IDIOMÁTICO
PHND-011;1;SUST;ánimo;  lado vaya  haciéndose el ánimo ;idiom: resignarse, preparase para sobrellevar algo molesto. Mx.;IDIOMÁTICO
PHND-012;1;SUST;ánimo;  ir preparándose,  hacerse el ánimo ;idiom: resignarse, preparase para sobrellevar algo molesto. Mx.;IDIOMÁTICO
PHND-063;1;SUST;galán;  me ve,  haciéndome el galán ;;FINGIDO
PHND-064;1;SUST;gallito; -Te gusta  hacerte el gallito ;;FINGIDO
PHND-065;1;SUST;gallito; .- °Venga, no se  haga el gallito Ya;;FINGIDO
PHND-066;1;SUST;gallito;  vos allí,  haciéndote el gallito ;;FINGIDO
PHND-067;1;SUST;gallito;  niño, si te  haces el gallito te;;FINGIDO
PHND-068;1;SUST;gallito;  dentro para  hacerse el gallito ;;FINGIDO
PHND-069;1;SUST;gallito;  a veces se  hace el gallito quizá;;FINGIDO
PHND-070;1;SUST;gallo;  dejar de  hacerte el gallo ;;FINGIDO
PHND-042;1;SUST;cuento; . Para no  hacerte el cuento ;idiom: engañar;IDIOMÁTICO
PHND-043;1;SUST;cuento;cuando iba a regresar intervinieron el Departamento y aquello se hizo el cuento de nunca acabar.;idiom: engañar;IDIOMÁTICO
PHND-044;1;SUST;cuento;  ya de  hacerme el cuento ;idiom: engañar;IDIOMÁTICO
PHND-045;1;SUST;cuento;  tener que  hacerme el cuento ;idiom: engañar;IDIOMÁTICO
PHND-046;1;SUST;cuento;  casa a  hacerme el cuento ;idiom: engañar;IDIOMÁTICO
PHND-047;1;SUST;cuento;  despertó para  hacerme los cuentos ;idiom: engañar;IDIOMÁTICO
PHND-048;1;SUST;cuento;  camino iba  haciéndome los cuentos ;idiom: engañar;IDIOMÁTICO
PHND-129;1;SUST;película; . Es como  hacerse la película ;Idiom: imaginarse algo;IDIOMÁTICO
PHND-162;1;SUST;taba;  no quiso  hacerme la taba ;Idiom: acompañar Perú;IDIOMÁTICO
PHND-071;1;SUST;gallo;  ché! No te  hagas el gallo -={Referencia;;FINGIDO
PHND-073;1;SUST;héroe; ... Dejáte de  hacerte el héroe ;;FINGIDO
PHND-074;1;SUST;héroe; , o sin  hacerse el héroe ;;FINGIDO
PHND-075;1;SUST;héroe; , basta de  hacerte el héroe ;;FINGIDO
PHND-076;1;SUST;héroe;" -------------  [54]       ""No te  hagas el héroe Baby.";;FINGIDO
PHND-077;1;SUST;héroe;  provocar, ni  hacerme el héroe ;;FINGIDO
PHND-078;1;SUST;heroína; ... Ojala no se  haga la heroína ahora.;;FINGIDO
PHND-079;1;SUST;hombre;  en cuando, se  hace el hombre al;;FINGIDO
PHND-080;1;SUST;hombre;  y a  hacerse los hombres ;;FINGIDO
PHND-081;1;SUST;hombre;Pensé en hacerme el hombrecito, ir a su casa y contarle todo.;;FINGIDO
PHND-082;1;SUST;hombre; -------------  [68]       -No te  hagas el hombrecito ahora.;;FINGIDO
PHND-083;1;SUST;hombre;  derecho de  hacerse el hombrecito ;;FINGIDO
PHND-209;1;SUST;Inglés;Para escuchar rock en inglés ¿no es a la larga mejor oir a The Kinks que a Los Brincos haciéndose los ingleses?;;FINGIDO
PHND-084;1;SUST;líder;" ""No vengas a hacerte el líder que tú eres una rana de historieta"", añadió tomando la actitud de quien espera un ataque.";;FINGIDO
PHND-086;1;SUST;macho; Saúl. No te  hagas el machito conmigo.;valiente;FINGIDO
PHND-087;1;SUST;macho; ROBLES: No te  hagas el machito -={Referencia;valiente;FINGIDO
PHND-088;1;SUST;macho;tenía la garganta seca, pero seguía haciéndome el machito.;valiente;FINGIDO
PHND-089;1;SUST;macho;  salvavidas. Por  hacerte el machito ;valiente;FINGIDO
PHND-090;1;SUST;macho;  esto. No te  hagas el machito por;valiente;FINGIDO
PHND-091;1;SUST;macho;  pidiéndote una, se  hacen los machitos los;valiente;FINGIDO
PHND-092;1;SUST;macho;  Wayne, que se  hacía el macho de;valiente;FINGIDO
PHND-093;1;SUST;macho;  idea de  hacerte el macho ;valiente;FINGIDO
PHND-094;1;SUST;macho;  engañar éste  haciéndose el macho ;valiente;FINGIDO
PHND-095;1;SUST;macho;  los chicos se  hacían los machos alguno;valiente;FINGIDO
PHND-096;1;SUST;macho;  artistas que se  hacen los machos O;valiente;FINGIDO
PHND-097;1;SUST;macho; , coño, no te  hagas el machote que;valiente;FINGIDO
PHND-098;1;SUST;macho;  nadan nada. Te  haces el machote que;valiente;FINGIDO
PHND-099;1;SUST;macho;  lisiado por  hacerte el machote ;valiente;FINGIDO
PHND-210;1;SUST;mártir;;;FINGIDO
PHND-211;1;SUST;mártir;;;FINGIDO
PHND-212;1;SUST;mártir;;;FINGIDO
PHND-213;1;SUST;mártir;;;FINGIDO
PHND-214;1;SUST;mártir;;;FINGIDO
