;ADJ;sust;ENUNCIADO
PVAD-0001;esbelto;Comodoro;ha dejado de ser el gordo Comodoro para volverse el esbelto Comodoro
PVAD-0002;espantoso;sensación; y de nuevo le volvió la espantosa sensación que le causaba la aprehensión de continuar enfermo
PVAD-0003;famoso;gota; A mí me tocó la cocina, pero el jueves me volvió la famosa gota, que hacía tiempo no me daba en Chile. 
PVAD-0004;gran;premio;...si San Salvador se vuelve el gran premio por el considerable aumento en su número de legisladores.
PVAD-0005;gran;nación;deberes y responsabilidades con los que habremos de vérnoslas y cumplir a medida que nos volvemos la gran nación
PVAD-0006;mejor;alumno;De inmediato, se volvió el mejor alumno de la clase. Ser el mejor tenía sus desventajas también. 
PVAD-0007;mejor;herramienta;la constatación al tacto se vuelve la mejor herramienta para identificarlos.
PVAD-0008;nuevo;valor;Cambiar la función, tomar a contrapelo el objeto cotidiano significa fundar un extrañamiento que se vuelve el nuevo valor en cuanto determina un cambio de signo
PVAD-0009;peor;pesadilla;'Aquello se volvió la peor de las pesadillas.
PVAD-0010;principal;diseñador;están el rol hegemónico de Estados Unidos, que se vuelve el principal diseñador de conceptos y políticas de seguridad en el continente.
PVAD-0011;principal;atributo;La independencia, respecto de los otros poderes del Estado, se vuelve el principal atributo deseable de este Poder Judicial en un régimen democrático.
PVAD-0012;principal;entusiasta;"le resultaban un poco pesadas; sin embargo, se volvió la principal entusiasta del Cine Club."
PVAD-0013;principal;compradores;orresponsales de prensa, miembros de cuerpos de socorro, militares estadounidenses, muchos de ellos se volvieron los principales compradores.
PVAD-0014;propio;blanco; Al ser un software más, puede volverse el propio blanco principal de ataques,
PVAD-0015;último;esparanza;llamó para ofrecer sus óvulos y así se volvió la última esperanza para que mi árbol genealógico no se convirtiera en una ramita seca. 
PVAD-0016;único;institución;Así el Estado mexicano se vuelve la única institución legal y juridica que fomenta el canon tradicional de los roles sociales del hombre y la mujer a través del matrimonio. 
PVAD-0017;único;sustancia;. De ser un co-principio de la sustancia, la materia inerte se vuelve la única sustancia, el único modelo de sustancia en el universo.
PVAD-0018;verdader;protagonista;osa que la historia para conocer la historia misma y el lenguaje se vuelve el verdadero protagonista del relato.
