CÓDIGO;tokens;ítem;complemento;enunciado;;
PVND-0003;1;agujero;0; No me gusta pelear. Los otros niños te rodean. Te vuelves el agujero, te vuelves el dedal.;;
PVND-0022;1;Central;0;La oficina estaba junto al Comité de Unidad y Solidaridad Sindical, el CUAS, que después se volvió la Central Sindical de Trabajadores Colombianos, CSTC. ;;
PVND-0036;1;comentario;0;Rossi se volvió el comentario en el club y en el estadio de fútbol;;
PVND-0041;1;cronista;0;  Sicilia para  volverse el cronista y el biógrafo de Garibaldi ;;
PVND-0043;1;dedal;0;agujero, te vuelves el dedal. ;;
PVND-0046;1;destino;0;"  lo recomiendo-;  volverse el compinche  ";;
PVND-0054;1;dueño;0;se volvió el dueño y apenas pudo reconocerle,;;
PVND-0055;1;editores;0; Cada vez en las casas editoriales los que antes organizaban los cocteles se vuelven los editores.;;
PVND-0061;1;escroto;0;porque lo primero que hay son posibles labios, y estos labios se vuelven el escroto, ;;
PVND-0073;1;Gruta;0; el teatro La Gruta en el Helénico se volvió La Gruta a partir de esa temporada.;;
PVND-0096;1;memoria;0;Porque cada gran orquesta es igualmente sus grandes solistas, al tiempo que ellos viven y sobreviven en nosotros, se vuelven la memoria, forman parte de nuestra vida y no salen de ella jamás.;;
PVND-0104;1;norma;0;El cinismo se volvió la norma.;;
PVND-0105;1;norma;0;cinismo se volvió la norma. ;;
PVND-0001;1;actividad;favoritas;Besarme completa, penetrarme en amores y perderse en mis carnes se volvieron las actividades favoritas de Román.;;
PVND-0002;1;afrodisíaco;más espectacular;   afrodisíaco más espectacular ;;
PVND-0153;1;alumno;mejor;De inmediato, se volvió el mejor alumno de la clase. Ser el mejor tenía sus desventajas también. ;;
PVND-0004;1;amante;de la revolución;   el amante de la revolución;;
PVND-0005;1;amo;y señor;Samayoa se volvió el amo y señor dentro de la pista;;
PVND-0006;1;arena;de disputa;   la arena de disputa entre las élites;;
PVND-0007;1;argumento;irrefutable;su liberalismo se vuelve el argumento irrefutable;;
PVND-0008;1;armas;con que;ejecutivo se vuelven las armas  con las que la madre de Enrique lo chantajea;;
PVND-0009;1;asunto;protagónico;   el asunto protagónico;;
PVND-0010;1;atracción;más buscada;   la atracción más buscada por las masas;;
PVND-0149;1;atributo;principal;La independencia, respecto de los otros poderes del Estado, se vuelve el principal atributo deseable de este Poder Judicial en un régimen democrático.;;
PVND-0011;1;bailarín;oficial;escuela. Me volví el bailarín oficial de mi primaria;;
PVND-0012;1;banco;más grande;   el banco más grande y rentable;;
PVND-0013;1;banda;sonora de nuestras vidas;'Sympathy' se volvió la banda sonora de nuestras vidas;;
PVND-0014;1;barrio;de las comunidades;   el barrio de las comunidades europeas de México;;
PVND-0015;1;blanco;predilecto;Anselmo se volvió el blanco predilecto del nuevo régimen temperamental;;
PVND-0159;1;blanco;propio; Al ser un software más, puede volverse el propio blanco principal de ataques,;;
PVND-0016;1;borracho;que soy;Pero para ser sincero me volví el borracho que soy por una borrachera histórica que me zampé con un gringo de Texas;;
PVND-0017;1;burla;de mis compañeros;   la burla de mis compañeritos de kínder.;;
