código;freq;nombre;info de complementos;Funcionan sin?;INFO;METAFORICO;SIGNIFICA;DISTANCIA;fuente;meta;enunciado;;;;;;;;;;;;;;;;;;
PVNI-0001;1;absoluto;⍬;Sí;;sí;;;;;la cultura se vuelve un absoluto, científicamente inexplicable e inexplicante;;;;;;;;;;;;;;;;;;
PVNI-0002;1;acertijo;que conmueve;SÍ;;sí;;;;;ese espejismo, a veces interrumpido por el vuelo de garzas imperiosas de plumaje claro, se vuelve un acertijo que conmueve la mirada.;;;;;;;;;;;;;;;;;;
PVNI-0003;1;acoso;a la vitalidad;sí;;sí;;;;; La educación se vuelve un acoso a la vitalidad, los niños tienen una tolerancia ilimitada hacia la pedagogía negra de sus padres, incurren en un mutismo que dura los dos primeros años de vida;;;;;;;;;;;;;;;;;;
PVNI-0637;1;actividad;anual;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; exposición;actividadanual;una actividad anual;;;;;;;;;;;;;;;;;;
PVNI-0779;1;actividad;recreativo;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; actividad;actividad recreativa;una actividad recreativa;;;;;;;;;;;;;;;;;;
PVNI-0789;1;actividad;riesgoso;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; actividad;actividad riegosa; Manejar automóvil es una experiencia placentera. Sin embargo, en una ciudad como la nuestra se vuelve una actividad riesgosa en la cual siempre está alguien jugándose la vida:;;;;;;;;;;;;;;;;;;
PVNI-0004;1;activista;política;Sí;profesión u ocupación;no;;;;;Ingresó a las Juventudes Socialistas y se volvió una activista política, además de una estudiosa de la sexualidad humana. ;;;;;;;;;;;;;;;;;;
PVNI-0005;1;acto;de fé;SUSTANTIVO COMPUESTO;;sí;insegura;mucha;línea;acto de fe;Como no sea trazada euclidianamente sobre una superficie plana, la línea recta se vuelve un acto de fe.;;;;;;;;;;;;;;;;;;
PVNI-0006;1;acto;de desafío;SUSTANTIVO COMPUESTO;;NO;;poca; intimidación;acto de desafío;acto de desafío;;;;;;;;;;;;;;;;;;
PVNI-0007;1;actor;⍬;Sí;;SÍ;confuso;;;;necesitaba ejercer el poder en todos los ámbitos y se volvió un actor.;;;;;;;;;;;;;;;;;;
PVNI-0723;1;actor;importante;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; persona;actor importante;La institución escolar amplía su red de contactos y se vuelve un actor importante en el desarrollo de la comunidad en la cual está inmersa.;;;;;;;;;;;;;;;;;;
PVNI-0008;1;admirador;de la literatura;sí;;sí;;;;;Así, se volvió un admirador y amante de la literatura de El Divino, como le llamaron sus biógrafos.;;;;;;;;;;;;;;;;;;
PVNI-0009;1;adorno;⍬;Sí;;SÍ;miedoso;;;;hasta lo sublime corre el riesgo de volverse un adorno.;;;;;;;;;;;;;;;;;;
PVNI-0010;1;afrenta;⍬;Sí;;sí;terso, dulce, plácido;;;;los vientos del amor libre que trajo el jipismo a Colombia, y eso de pagar por el amor se volvió una afrenta. ;;;;;;;;;;;;;;;;;;
PVNI-0011;1;agüero;que anunciaba;Sí;;sí;;;;;La puerta delpub se volvió un agüero que anunciaba la llegada de diversos bebedores, a los cuales Taylor escrutaba con reserva, como a unos intrusos,;;;;;;;;;;;;;;;;;;
PVNI-0012;1;ahorcado;⍬;Sí;;sí;;;;;A un ladrón que se volvía un ahorcado a veces la gente lo respetaba. Al ladrón no, pero al ahorcado sí.;;;;;;;;;;;;;;;;;;
PVNI-0013;1;alegato;alegórico;sí;;sí;;;;;Por ello es que Columpio al Aire, de Lizandro Chávez Alfaro, se vuelve un alegato alegórico sobre la construcción de una de las zonas de Nicaragua;;;;;;;;;;;;;;;;;;
PVNI-0014;1;aliento;entrecortado;sí;;sí;;;;;las palabras se volvían un aliento entrecortado.;;;;;;;;;;;;;;;;;;
PVNI-0015;1;alimento;preciosos;Sí;;sí;;;;;" me enamoré para siempre de las ""figuritas que se mueven"", las películas se volvieron un alimento precioso para mi imaginación y mi eterno deseo,";;;;;;;;;;;;;;;;;;
PVNI-0016;1;alivio;⍬;Sí;;sí;;;;; Se acabó, volvió a repetir para sus adentros, y de pronto la exclamación se volvió un alivio.;;;;;;;;;;;;;;;;;;
PVNI-0017;1;alternativa;para;Sí;;sí;;;;;En esta realidad, el arte conceptual se volvió una alternativa para este colectivo, mas no lo incorporaron de forma mecánica, sino que lo reinterpretaron;;;;;;;;;;;;;;;;;;
PVNI-0019;1;amasijo;de conversaciones;SUSTANTIVO COMPUESTO;cuantificador;SÍ;confuso;mucha;voces;amasijo;?Las voces se vuelven un amasijo de conversaciones en presente y pasado.;;;;;;;;;;;;;;;;;;
PVNI-0020;1;amasijo;de celos;SUSTANTIVO COMPUESTO;;SÍ;confuso;mucha;dolor;celos;?ahora se confabulan en su contra, se vuelven un amasijo de celos, culpa y odio hacia sí mismo.;;;;;;;;;;;;;;;;;;
PVNI-0690;1;ámbito;envolvente;SUSTANTIVO COMPUESTO;de PVNIS;sí;envolvente;mucha;persona;ámbito; Se hace chico y grande, se vuelve un ámbito envolvente y húmedo como un lago o lejano;;;;;;;;;;;;;;;;;;
PVNI-0021;1;amenaza;para;Sí;;sí;;;;;Porque la tragedia del cambio climático se vuelve una amenaza para nosotros;;;;;;;;;;;;;;;;;;
PVNI-0022;1;amenaza;para;Sí;;sí;;;;;Estando divorciada me volví una amenaza para algunas de mis amigas casadas, ;;;;;;;;;;;;;;;;;;
PVNI-0023;1;amenaza;en nuestro;sí;;sí;;;;; antes que el hecho se vuelva una amenaza en nuestro trabajo y un problema para nuestra vida.;;;;;;;;;;;;;;;;;;
PVNI-0024;1;amigo;a la que podía;sí;;no;;;;;al final se volvió una amiga a la que llamaba al celular ;;;;;;;;;;;;;;;;;;
PVNI-0025;1;amigo;entrañable;sí;;sí;;;;;volvió un amigo entrañable de mi casa;;;;;;;;;;;;;;;;;;
PVNI-0027;1;anciana;⍬;Sí;;sí;;;;;hasta volverse una anciana, con el recuerdo de la pequeña Lucía y el dolor de su temprana muerte acompañándola,;;;;;;;;;;;;;;;;;;
PVNI-0795;1;anciano;solitario;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; anciano;anciano solitario;me volví un anciano solitario;;;;;;;;;;;;;;;;;;
PVNI-0028;1;anillo;⍬;Sí;;sí;;;;;Pero ninguna se engañaba. Y Martina optó por callar a medida que Antonia se volvía un anillo y ella parecía haberse tragado un garfio.;;;;;;;;;;;;;;;;;;
PVNI-0029;1;animal;enfurecido;sí;;sí;;;;;Se volvió un animal enfurecido, encerrado, a puro estar gruñe y gruñe, pero ya sin la capacidad de morder.;;;;;;;;;;;;;;;;;;
PVNI-0030;1;animal;desesperado;sí;;sí;;;;;"Perdóname, no sabes lo que es habitar un abismo de soledad sin fondo ni esperanza. Me volví un animal desesperado...; perdóname, te lo suplico.";;;;;;;;;;;;;;;;;;
PVNI-0031;1;antimoda;⍬;Sí;;sí;;;;;Creció tan rápido que al cabo de un mes, era la principal ruta de los buses. Miles de personas se movilizaron hacia allá, se volvió una antimoda ir a conocerlo.;;;;;;;;;;;;;;;;;;
PVNI-0032;1;araña;⍬;Sí;;sí;;;;;Yo una vez creí volverme una araña, perder mi centro de gravedad, mirar mi piel como una costra.;;;;;;;;;;;;;;;;;;
PVNI-0033;1;árbol;de muchos pájaros;sí;IDIOM;sí;;;;;Ahora, con su morral al hombro, la savia corría por sus venas, Bárbara levantaba sus ramas, se volvía un árbol de muchos pájaros como alguna vez le pidió su amiga Rosario, muerta antes de tiempo.;;;;;;;;;;;;;;;;;;
PVNI-0034;1;árbol;de miedo;SUSTANTIVO COMPUESTO;;SÍ;miedoso;poca; persona;arbol de miedo;Me sequé a los catorce años. Me volví un árbol de miedo.;;;;;;;;;;;;;;;;;;
PVNI-0035;1;arte;del que se puede vivir;sí;;sí;;;;;Eso implica no sólo que ahora ser tatuador puede volverse un arte del que se puede vivir ;;;;;;;;;;;;;;;;;;
PVNI-0036;1;arte;sagrado;Sí;;sí;;;;;"La escritura, antes del dominio de todos, se volvió un arte sagrado;";;;;;;;;;;;;;;;;;;
PVNI-0717;1;artefacto;histórico;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;lapicera;artefacto;La revista Time explica que la lapicera utilizada para firmar una legislación histórica se vuelve un artefacto histórico de por sí, que es llevado a museos y entregado a colaboradores en forma de agradecimiento honorario. ;;;;;;;;;;;;;;;;;;
PVNI-0037;1;artista;de éxito;sí;profesión u ocupación;no;;;;;Al final, sin embargo, el joven se vuelve un artista de éxito,;;;;;;;;;;;;;;;;;;
PVNI-0038;1;asceta;⍬;Sí;;sí;;;;;"Nos importa hablar de esta suerte de vaciamiento que le va sucediendo hasta volverse un asceta""";;;;;;;;;;;;;;;;;;
PVNI-0816;1;asco;de vieja;SUSTANTIVO COMPUESTO;de PVNIS;sí;asquerosa;mucha; mujer;asco de vieja;Luego te dio el ataque: arañaste las paredes, me pateaste el trasero, te vino la regla, se te enderezó el lomo, llenaste de moco las porcelanas, te volviste un asco de vieja ;;;;;;;;;;;;;;;;;;
PVNI-0039;1;asesino;⍬;Sí;profesión u ocupación;no;;;;;Porque el que mata se vuelve un asesino en el momento de matar, pero antes no lo era...;;;;;;;;;;;;;;;;;;
PVNI-0656;1;aspecto;clave;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; subsistencias;aspecto clave;así como una precaria movilidad y tecnología, en donde la subsistencia se volvía un aspecto clave- ;;;;;;;;;;;;;;;;;;
PVNI-0783;1;aspecto;reiterado;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; aspecto;aspecto reiterado;la polémica sobre la futura Confederación de Cine Clubes de América Latina, se volvió un aspecto reiterado en la agenda de las reuniones;;;;;;;;;;;;;;;;;;
